Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.30	13.34	46.36	3.05	0.01
0	0	1.32	14.79	42.20	3.14	0.00
0	4	0.99	12.17	51.38	3.61	0.00
1	1	1.45	14.40	47.10	2.51	0.00
1	5	0.84	11.79	50.60	2.87	0.00
2	2	1.60	12.69	45.90	3.03	0.00
2	6	2.18	14.64	37.92	1.94	0.09
3	3	1.33	14.01	45.97	3.51	0.00
3	7	0.70	12.23	49.97	3.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.73	10.50	52.15	5.29	0.02
0	0	0.84	10.99	50.01	6.22	0.00
0	4	0.33	9.81	53.14	5.03	0.00
1	1	0.79	9.78	51.46	6.92	0.00
1	5	0.92	9.81	55.95	5.92	0.00
2	2	0.72	9.83	54.03	4.54	0.00
2	6	1.27	14.41	42.53	4.00	0.14
3	3	0.58	9.32	55.01	5.87	0.00
3	7	0.38	10.07	55.22	3.86	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.77	8.47	53.82	7.16	0.04
0	0	0.76	8.96	52.20	9.01	0.00
0	4	0.82	7.56	56.55	5.76	0.00
1	1	1.11	8.58	53.33	4.12	0.00
1	5	1.20	8.03	56.30	8.34	0.00
2	2	0.43	6.98	55.08	6.90	0.00
2	6	0.89	11.31	49.81	5.66	0.33
3	3	0.55	6.69	49.66	12.77	0.01
3	7	0.36	9.63	57.50	4.67	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.71	8.43	53.43	7.37	0.06
0	0	1.23	8.30	54.48	4.82	0.00
0	4	0.54	7.35	53.37	10.04	0.00
1	1	0.58	8.77	54.18	8.45	0.00
1	5	0.64	7.86	54.63	7.38	0.17
2	2	0.48	8.13	52.67	6.08	0.00
2	6	0.86	11.84	51.01	3.60	0.32
3	3	0.79	7.43	51.42	8.76	0.00
3	7	0.60	7.79	55.83	9.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.30	10.94	40.85	9.95	0.17
0	0	4.42	12.53	34.95	9.53	0.44
0	4	3.12	9.95	40.33	12.05	0.00
1	1	3.00	9.18	40.14	3.58	0.00
1	5	2.97	11.37	44.55	9.21	0.00
2	2	2.85	9.93	42.60	12.70	0.00
2	6	3.07	12.34	38.51	9.33	0.73
3	3	3.37	12.20	38.00	11.85	0.17
3	7	3.55	9.94	47.56	11.33	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.88	11.21	48.69	4.34	0.16
0	0	1.36	12.20	46.92	5.09	0.01
0	4	0.97	9.05	50.82	5.90	0.00
1	1	1.08	11.18	46.96	4.62	0.00
1	5	0.45	10.04	50.40	4.26	0.00
2	2	0.74	11.45	50.50	3.34	0.00
2	6	1.22	14.04	40.24	2.42	0.99
3	3	0.47	11.20	50.83	5.75	0.00
3	7	0.73	10.63	53.24	3.42	0.25
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.39	9.60	49.91	5.64	0.17
0	0	1.44	11.23	47.64	5.14	0.21
0	4	1.06	8.49	54.21	6.08	0.11
1	1	1.41	8.84	52.75	8.26	0.00
1	5	1.68	9.35	51.79	4.32	0.00
2	2	1.21	9.24	47.63	5.97	0.01
2	6	1.68	12.29	45.02	4.71	1.04
3	3	1.49	8.56	49.44	4.59	0.00
3	7	1.11	8.74	50.47	6.05	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.86	8.78	50.59	7.22	0.12
0	0	0.56	8.64	50.48	7.43	0.01
0	4	1.00	8.83	50.31	6.86	0.00
1	1	1.41	9.75	53.44	6.88	0.00
1	5	0.93	8.37	48.77	5.69	0.00
2	2	1.32	7.92	48.66	8.18	0.00
2	6	0.75	10.61	47.38	5.57	0.94
3	3	0.51	6.63	51.11	11.57	0.00
3	7	0.43	9.55	54.72	5.57	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.51	9.78	49.30	6.23	0.07
0	0	1.92	11.41	50.54	2.91	0.00
0	4	1.65	8.13	45.72	9.03	0.13
1	1	1.71	8.87	51.96	5.08	0.01
1	5	1.23	9.12	50.70	6.99	0.00
2	2	1.44	10.03	47.80	7.81	0.00
2	6	1.92	13.40	44.09	4.96	0.38
3	3	1.20	8.30	51.43	6.93	0.00
3	7	0.99	8.95	52.00	6.14	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.08	7.91	41.84	11.71	0.17
0	0	2.64	8.73	40.00	16.23	0.00
0	4	2.07	7.71	41.70	18.62	0.50
1	1	2.14	7.78	46.44	16.83	0.00
1	5	2.01	7.84	39.38	15.26	0.70
2	2	2.21	7.42	41.57	6.04	0.09
2	6	2.13	8.33	38.50	3.65	0.04
3	3	1.89	7.55	42.20	6.51	0.00
3	7	1.55	7.94	44.91	10.57	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.47	12.36	48.00	2.85	0.01
0	0	1.62	15.15	40.19	2.29	0.00
0	4	0.71	12.12	51.04	2.05	0.00
1	1	1.66	11.54	50.92	2.46	0.00
1	5	0.82	12.05	51.71	3.37	0.00
2	2	2.24	11.85	48.84	3.60	0.00
2	6	1.66	12.91	48.19	2.18	0.05
3	3	1.31	11.19	45.88	4.22	0.00
3	7	1.75	12.12	47.26	2.65	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.12	12.00	47.57	3.60	0.02
0	0	1.31	13.53	44.25	2.54	0.01
0	4	0.82	9.72	49.87	3.69	0.00
1	1	0.71	12.09	49.92	3.37	0.00
1	5	1.41	12.13	50.99	4.89	0.00
2	2	1.64	12.98	48.25	2.13	0.08
2	6	1.28	12.96	42.98	2.98	0.06
3	3	1.10	11.00	46.86	5.69	0.00
3	7	0.68	11.54	47.40	3.51	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.80	10.42	49.28	5.26	0.10
0	0	0.81	10.74	50.48	2.81	0.00
0	4	0.75	10.67	53.82	3.05	0.00
1	1	0.85	9.39	50.28	4.39	0.01
1	5	1.02	9.93	47.62	6.16	0.00
2	2	0.58	8.91	47.59	8.09	0.00
2	6	1.28	12.16	44.12	5.05	0.78
3	3	0.29	10.95	47.70	8.44	0.00
