Core	CPU	C1%	C3%	C6%	C8%	C9%
0	4	0.00	0.02	0.89	0.30	0.00
1	1	0.05	6.41	18.88	0.89	0.00
1	5	0.00	0.00	0.37	0.88	0.00
2	2	0.05	9.09	36.40	0.30	0.00
2	6	0.01	0.05	0.71	0.89	0.00
3	3	0.00	0.00	5.45	90.78	0.00
3	7	0.00	0.00	1.04	0.60	3.31
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.20	0.34	8.67	13.40	0.00
0	0	0.02	2.48	56.68	13.11	0.00
0	4	0.00	0.00	6.03	15.72	0.00
1	1	1.52	0.06	0.79	0.29	0.00
1	5	0.04	0.02	0.22	1.10	0.00
2	2	0.00	0.02	1.01	0.99	0.00
2	6	0.00	0.15	0.93	0.30	0.00
3	3	0.00	0.02	3.46	75.13	0.00
3	7	0.00	0.00	0.24	0.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.50	9.32	12.62	0.11
0	0	0.01	3.86	60.83	7.93	0.00
0	4	0.00	0.00	7.53	40.60	0.00
1	1	0.00	0.00	0.25	1.98	0.00
1	5	0.00	0.00	0.22	0.59	0.00
2	2	0.00	0.02	0.69	0.40	0.00
2	6	0.00	0.12	1.38	0.40	0.00
3	3	0.00	0.00	3.23	48.29	0.00
3	7	0.00	0.00	0.41	0.79	0.90
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.33	8.24	14.15	0.07
