Core	CPU	C1%	C3%	C6%	C8%	C9%
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	0.00	0.65	1.31	0.00
0	0	0.00	0.02	1.31	0.39	0.00
0	4	0.00	0.00	0.40	0.69	0.00
1	1	0.00	0.00	0.56	1.09	0.00
1	5	0.25	0.00	0.35	1.97	0.00
2	2	0.33	0.02	1.03	2.15	0.00
2	6	0.00	0.00	0.37	1.49	0.00
3	3	0.00	0.00	0.83	1.18	0.00
3	7	0.00	0.00	0.32	1.54	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.20	0.76	1.36	0.00
0	0	0.00	0.00	1.59	1.89	0.00
0	4	0.00	0.00	1.01	0.89	0.00
1	1	0.00	0.00	0.41	1.18	0.00
1	5	0.00	0.00	1.09	0.79	0.00
2	2	0.00	0.00	0.76	1.97	0.00
2	6	0.00	0.00	0.56	1.78	0.00
3	3	0.00	1.58	0.24	0.00	0.00
3	7	0.00	0.00	0.39	2.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.39	0.80	0.00
0	0	0.00	0.00	0.05	0.69	0.00
0	4	0.00	0.04	0.50	1.00	0.00
1	1	0.00	0.00	0.38	0.79	0.00
1	5	0.00	0.00	0.46	0.89	0.00
2	2	0.00	0.00	0.43	0.79	0.00
2	6	0.00	0.00	0.23	0.99	0.00
3	3	0.00	0.00	0.70	0.40	0.00
3	7	0.00	0.00	0.36	0.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.43	0.73	0.00
0	0	0.00	0.00	0.10	0.40	0.00
0	4	0.00	0.00	0.60	1.08	0.00
1	1	0.00	0.00	0.54	0.69	0.00
1	5	0.00	0.00	0.34	0.78	0.00
2	2	0.00	0.01	0.81	0.60	0.00
2	6	0.00	0.00	0.29	0.88	0.00
3	3	0.00	0.00	0.36	0.69	0.00
3	7	0.00	0.00	0.43	0.75	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.33	0.91	0.00
0	0	0.00	0.00	0.48	0.89	0.00
0	4	0.00	0.00	0.46	1.40	0.00
1	1	0.00	0.00	0.21	0.70	0.00
1	5	0.00	0.00	0.18	0.76	0.00
2	2	0.00	0.00	0.35	0.98	0.00
2	6	0.00	0.00	0.44	0.89	0.00
3	3	0.00	0.00	0.22	0.89	0.00
3	7	0.00	0.01	0.28	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.57	1.18	0.00
0	0	0.00	0.05	1.02	1.31	0.00
0	4	0.00	0.00	0.36	0.99	0.00
1	1	0.00	0.00	0.42	0.89	0.00
1	5	0.00	0.00	0.44	1.77	0.00
2	2	0.00	0.00	0.37	0.99	0.00
2	6	0.00	0.00	0.36	0.79	0.00
3	3	0.00	0.00	0.60	1.60	0.00
3	7	0.00	0.00	0.97	1.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.37	0.93	0.00
0	0	0.00	0.00	0.65	1.19	0.00
0	4	0.00	0.00	0.59	1.10	0.00
1	1	0.00	0.00	0.19	0.72	0.00
1	5	0.00	0.00	0.26	0.90	0.00
2	2	0.00	0.00	0.41	0.90	0.00
2	6	0.00	0.00	0.22	0.90	0.00
3	3	0.00	0.00	0.18	1.00	0.00
3	7	0.00	0.00	0.44	0.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.08	0.49	0.69	0.00
0	0	0.00	0.01	0.40	0.49	0.00
0	4	0.00	0.00	0.27	0.89	0.00
1	1	0.00	0.00	0.44	0.69	0.00
1	5	0.00	0.00	0.91	0.90	0.00
2	2	0.00	0.00	0.79	0.79	0.00
2	6	0.00	0.00	0.28	0.88	0.00
3	3	0.00	0.59	0.13	0.00	0.00
3	7	0.00	0.00	0.72	0.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.41	0.83	0.00
0	0	0.00	0.02	0.66	0.99	0.00
0	4	0.00	0.00	0.40	1.38	0.00
1	1	0.00	0.02	0.29	0.59	0.00
1	5	0.00	0.00	0.28	0.40	0.00
2	2	0.00	0.00	0.35	0.89	0.00
2	6	0.00	0.00	0.44	0.89	0.00
3	3	0.00	0.02	0.50	0.59	0.00
3	7	0.00	0.00	0.37	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.38	1.11	0.00
0	0	0.00	0.02	0.78	1.60	0.00
0	4	0.00	0.00	0.19	0.99	0.00
1	1	0.00	0.00	0.45	1.51	0.00
1	5	0.00	0.00	0.39	1.28	0.00
2	2	0.00	0.02	0.19	0.90	0.00
2	6	0.00	0.00	0.29	0.90	0.00
3	3	0.00	0.00	0.27	0.89	0.00
3	7	0.00	0.00	0.44	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.55	0.87	0.00
0	0	0.00	0.02	0.67	1.30	0.00
